Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium-Luxembourg(*),141.60,133.88,154.32,158.36,194.44,254.31,297.81,353.42,374.23,391.02,339.50,420.13,527.81,560.19,571.12,668.32,744.06,722.69,727.83
Nicaragua,156.19,212.29,173.38,180.10,185.19,231.26,246.41,307.60,340.38,414.26,369.53,480.43,580.13,617.59,485.45,665.76,638.74,629.44,709.01
Malaysia,286.30,233.61,206.11,232.19,329.24,542.30,597.03,733.44,1046.07,1743.07,1280.13,1635.41,2273.14,1776.57,1398.52,1353.87,971.55,774.10,683.49
Poland,99.92,122.89,146.97,191.15,227.08,236.30,228.58,230.52,268.58,293.27,288.85,314.76,311.85,366.05,372.62,419.43,452.18,470.37,619.73
Denmark(*),374.62,427.46,417.89,424.54,472.66,452.87,411.64,374.65,382.97,385.62,415.76,418.06,478.76,447.27,552.41,589.13,534.18,578.52,601.62
Russia,381.62,334.17,297.71,348.04,337.81,312.12,405.93,499.58,574.02,447.49,464.21,436.55,379.74,316.93,386.35,374.90,378.43,477.78,526.29
Taiwan,360.36,324.59,324.16,251.53,247.96,272.65,272.69,262.39,280.06,328.06,292.74,310.80,368.04,387.53,391.64,411.41,416.79,447.35,497.11
Madagascar,27.05,37.92,83.94,120.90,181.32,138.03,38.83,35.73,40.26,35.26,35.37,37.00,36.46,53.90,59.77,83.78,129.21,238.50,419.79
Dominican Republic,195.57,206.08,219.11,239.86,262.52,235.80,239.76,304.53,300.05,275.15,366.27,405.20,428.88,481.99,353.60,369.76,407.18,406.36,413.62
Greece,92.83,110.75,108.51,137.86,133.85,145.23,164.89,172.30,266.45,218.44,189.94,214.89,241.70,238.06,277.31,288.24,347.20,384.63,396.27
Sweden,271.12,276.88,343.60,377.75,400.71,422.49,467.42,429.12,472.60,479.33,483.00,494.55,500.99,477.63,461.93,473.23,400.03,378.67,368.88
Uruguay,78.23,90.70,79.72,50.43,123.34,362.04,498.39,316.37,347.74,132.52,133.47,129.51,188.30,224.56,262.09,267.57,387.44,312.87,330.30
Israel(*),99.80,96.92,106.31,114.54,141.47,169.30,160.29,159.10,177.50,183.35,193.83,212.56,234.97,266.40,271.91,295.72,298.43,321.02,324.34
South Africa,130.41,163.23,126.53,154.20,169.83,172.98,194.43,212.12,181.75,180.84,185.69,227.45,218.25,261.98,253.44,268.89,280.14,268.34,319.88
Ghana,41.87,70.29,56.99,27.90,11.42,22.92,34.98,75.02,58.68,35.49,100.18,193.74,281.74,190.34,197.94,212.70,238.89,249.41,253.98
Iceland,239.39,189.96,152.39,167.67,147.69,157.68,142.62,143.61,127.34,103.96,92.15,107.18,107.67,140.83,162.50,172.89,184.96,215.24,229.27
Sri Lanka,34.16,40.25,31.61,32.87,39.70,43.19,42.89,53.67,54.80,52.70,46.31,64.47,80.86,115.71,122.09,162.76,216.82,208.87,227.46
Morocco,67.93,62.39,57.23,71.06,91.29,90.28,88.10,102.28,118.38,139.61,115.56,163.63,191.10,146.37,166.13,210.06,239.08,200.58,202.36
El Salvador,122.20,182.81,100.62,76.29,109.07,100.21,150.10,145.69,182.19,237.72,198.94,216.89,357.01,349.53,212.96,191.10,223.88,210.54,188.62
Ethiopia(*),23.74,22.29,21.02,17.56,25.25,33.29,47.78,53.20,69.48,116.98,82.28,99.54,118.53,96.78,103.49,110.26,147.74,132.80,167.92
Portugal,79.80,72.48,70.36,89.73,85.24,91.78,104.03,106.92,109.70,108.94,94.50,105.58,119.98,116.09,127.54,140.00,151.37,144.53,160.37
Kenya,34.72,34.05,38.63,38.11,40.17,49.24,52.02,56.29,50.70,63.69,57.47,75.85,90.15,101.72,84.18,109.97,132.91,122.40,157.66
Jamaica,76.88,68.83,66.43,77.39,79.82,76.39,90.28,95.30,100.00,108.82,104.02,121.98,121.65,107.36,92.86,101.25,118.73,121.59,143.28
Latvia,1.16,1.57,2.04,2.68,2.78,9.30,23.12,15.43,9.26,15.75,31.18,40.11,117.16,141.97,131.66,145.61,147.41,166.83,142.35
Panama,175.70,143.40,142.33,136.86,147.84,139.62,170.55,160.22,156.15,154.32,118.50,141.52,154.59,159.46,144.93,137.25,136.00,139.46,133.85
Hong Kong,80.95,91.13,82.05,98.25,76.31,67.96,75.02,79.68,78.17,81.26,73.08,77.83,85.49,83.41,94.25,94.18,116.38,126.00,117.55
Pakistan,39.14,39.50,37.26,29.12,33.13,36.66,38.20,46.86,53.25,80.83,62.24,65.70,85.02,129.91,124.76,124.52,128.50,110.20,116.85
Ukraine,1.48,1.55,2.84,4.90,8.63,10.02,10.88,16.36,15.31,16.56,16.70,14.77,16.55,27.10,35.70,74.52,146.01,81.89,113.95
Bolivia,13.71,16.03,15.92,20.37,20.82,30.45,30.90,32.28,37.65,59.99,75.38,92.64,111.71,107.66,190.88,243.79,155.32,105.73,108.43
"Other Pacific Islands, NEC(*)",23.06,27.34,68.38,62.80,65.35,82.55,80.21,79.23,68.10,71.50,81.43,87.95,40.14,83.85,79.66,80.16,91.78,97.67,104.62
Egypt,14.21,14.52,15.38,17.31,17.75,19.81,25.19,38.55,45.94,45.70,78.00,57.80,70.33,71.47,72.01,77.30,87.84,88.72,99.26
